System,ALIE_min (eV),LEA_min (eV),LEAE_min (eV)
SR-1,8.49028,-42.24867,-0.01312
SR-2,9.06915,-43.17636,-0.86047
SR-3,8.56807,-42.35322,-0.09143
SR-4,8.08924,-39.65641,-3.13961
SR-5,7.74846,-39.38563,-1.90041
SR-6,9.27811,-40.83675,-1.20499
SR-8,8.10993,-41.6531,-3.22907
SR-9,8.3827,-41.58555,-1.95717
SR-10,9.09017,-42.71372,-0.86788
SR-11,8.46774,-42.07113,-7e-05
SR-12,8.95109,-44.13936,-0.92821
SR-13,6.75532,-42.32281,-0.70355
SR-14,8.40005,-42.12875,-0.69247
SR-15,8.74201,-46.24571,-2.01104
SR-16,9.00363,-45.11871,-2.09037
SR-17,8.03565,-43.75225,-4.05501
P1,8.54923,-41.33117,-0.17562
P2,8.40451,-41.67931,-0.14836
P3,8.67962,-40.80582,-0.11472
